City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-01-05 11:00:00,46.42,91.5,1.77,16.07,17.98,15.38,1.77,63.48,41.12,3.67,9.22,0.7,116.0,Moderate
Ahmedabad,2015-01-05 13:00:00,46.42,91.5,0.6,12.03,11.62,15.38,0.6,24.32,60.67,2.08,8.17,0.42,116.0,Moderate
Ahmedabad,2015-01-05 14:00:00,46.42,91.5,0.55,12.31,11.23,15.38,0.55,29.45,65.79,1.47,5.75,0.0,116.0,Moderate
Ahmedabad,2015-01-05 15:00:00,46.42,91.5,0.12,13.55,11.95,15.38,0.12,43.47,71.29,1.55,5.9,0.0,116.0,Moderate
Ahmedabad,2015-01-05 16:00:00,46.42,91.5,0.62,14.53,14.13,15.38,0.62,39.56,74.29,1.37,5.97,0.37,116.0,Moderate
Ahmedabad,2015-01-05 17:00:00,46.42,91.5,0.23,14.37,13.62,15.38,0.23,38.01,70.5,1.43,6.92,0.52,116.0,Moderate
Ahmedabad,2015-01-05 18:00:00,46.42,91.5,0.4,20.34,21.4,15.38,0.4,22.63,59.92,2.38,6.65,0.0,116.0,Moderate
Ahmedabad,2015-01-05 20:00:00,46.42,91.5,58.93,45.09,109.08,15.38,58.93,20.7,18.54,14.2,43.3,7.02,116.0,Moderate
Ahmedabad,2015-01-05 23:00:00,46.42,91.5,98.0,48.77,151.43,15.38,98.0,24.17,18.25,29.52,82.97,15.37,116.0,Moderate
Ahmedabad,2015-01-06 00:00:00,46.42,91.5,80.65,44.94,128.22,15.38,80.65,19.6,14.67,24.87,66.18,12.0,116.0,Moderate
Ahmedabad,2015-01-06 01:00:00,46.42,91.5,43.45,40.82,82.88,15.38,43.45,25.34,9.04,21.78,51.68,9.22,116.0,Moderate
Ahmedabad,2015-01-06 02:00:00,46.42,91.5,36.45,41.62,75.08,15.38,36.45,33.4,7.38,11.75,30.15,8.2,116.0,Moderate
